| appname | description | site | download | version |
| rmw | trashcan/recycle bin utility for the command line | https://github.com/theimpossibleastronaut/rmw/releases | https://github.com/theimpossibleastronaut/rmw/releases/download/v0.9.3/rmw-0.9.3-aarch64.AppImage | v0.9.3 |
| serial_studio | Multi-purpose serial data visualization & processing program | https://github.com/Serial-Studio/Serial-Studio/releases | https://github.com/Serial-Studio/Serial-Studio/releases/download/v3.1.7/Serial-Studio-3.1.7-Linux-arm64.AppImage | v3.1.7 |
| serialport_assistant | SerialPort Assistant | https://github.com/KangLin/SerialPortAssistant/releases | https://github.com/KangLin/SerialPortAssistant/releases/download/test_master/SerialPortAssistant_v0.5.31_Linux_aarch64.AppImage | test_master |
| shannon_calculator | Shannon Calculator calculates the Shannon self-information content of a message text or file byte data. Shannon information is a measure of the information content contained in a message. The theory underpins many developments in compression, message transmission and error correction | https://github.com/kuiperzone/Shannon-Calculator/releases | https://github.com/kuiperzone/Shannon-Calculator/releases/download/v1.0.0/ShannonCalculator-aarch64.AppImage | v1.0.0 |
| speedyloader | Speeduino universal firmware loader | https://github.com/noisymime/SpeedyLoader/releases | https://github.com/speeduino/SpeedyLoader/releases/download/v1.6.0/SpeedyLoader-aarch64.AppImage | v1.6.0 |
| sqlitebrowser | DB Browser for SQLite is a high quality, visual, open source tool to create, design, and edit database files compatible with SQLite. It is for users and developers wanting to create databases, search, and edit data. It uses a familiar spreadsheet-like interface, and you don&apos;t need to learn complicated SQL commands. Controls and wizards are available for users to: Create and compact database files Create, define, modify and delete tables Create, define and delete indexes Browse, edit, add and delete records Search records Import and export records as text Import and export tables from/to CSV files Import and export databases from/to SQL dump files Issue SQL queries and inspect the results Examine a log of all SQL commands issued by the application | https://github.com/sqlitebrowser/sqlitebrowser/releases | https://github.com/sqlitebrowser/sqlitebrowser/releases/download/nightly/DB.Browser.for.SQLCipher-20250621-aarch64.AppImage | nightly |
| standard_notes | A simple and private place for your notes, thoughts, and life’s work | https://github.com/standardnotes/desktop/releases | https://github.com/standardnotes/desktop/releases/download/v3.22.11/standard-notes-3.22.11-linux-arm64.AppImage | v3.22.11 |
| sticker-convert | Convert (animated) stickers between WhatsApp, Telegram, Signal, Line, Kakao, iMessage, with ability to download stickers from some of the messaging platforms. Written in Python. Able to run in CLI and GUI mode | https://github.com/laggykiller/sticker-convert/releases | https://github.com/laggykiller/sticker-convert/releases/download/v2.13.2.2/sticker-convert-aarch64.AppImage | v2.13.2.2 |
| streamlink | Streamlink is a command-line utility which pipes video streams from various services into a video player, such as VLC. The main purpose of Streamlink is to avoid resource-heavy and unoptimized websites, while still allowing the user to enjoy various streamed content | https://github.com/streamlink/streamlink-appimage/releases | https://github.com/streamlink/streamlink-appimage/releases/download/7.4.0-1/streamlink.ffmpeg-7.4.0-1-cp313-cp313-manylinux_2_28_aarch64.AppImage | 7.4.0-1 |
| stretchly | break time reminder app | https://github.com/hovancik/stretchly/releases | https://github.com/hovancik/stretchly/releases/download/v1.17.2/Stretchly-1.17.2-arm64.AppImage | v1.17.2 |
| switchhosts! | Switch hosts quickly! | https://github.com/oldj/SwitchHosts/releases | https://github.com/oldj/SwitchHosts/releases/download/v4.2.0-beta/SwitchHosts_linux_arm64_4.2.0.6105.AppImage | v4.2.0-beta |
| thorium_reader | Desktop application to read ebooks | https://github.com/edrlab/thorium-reader/releases | https://github.com/edrlab/thorium-reader/releases/download/latest-linux-arm/Thorium-3.2.0-alpha.1.15897088236-arm64.AppImage | latest-linux-arm |
| translatium | Translate Any Languages like a Pro | https://github.com/atomery/translatium/releases | https://github.com/webcatalog/translatium-legacy/releases/download/v20.4.0/Translatium-20.4.0-arm64.AppImage | v20.4.0 |
| trezor_suite | Trezor Suite desktop application | https://github.com/trezor/trezor-suite/releases | https://github.com/trezor/trezor-suite/releases/download/v25.6.3/Trezor-Suite-25.6.3-linux-arm64.AppImage | v25.6.3 |
| triagem-touch | Novo SGA triage client | https://github.com/novosga/triagem-touch/releases | https://github.com/novosga/triage-app/releases/download/v2.0.2/triagem-touch-2.0.2-arm64.AppImage | v2.0.2 |
| turbowarp | TurboWarp is a Scratch mod with a compiler to run projects faster, dark mode for your eyes, a bunch of addons to improve the editor, and more | https://github.com/TurboWarp/desktop/releases | https://github.com/TurboWarp/desktop/releases/download/v1.14.4/TurboWarp-linux-arm64-1.14.4.AppImage | v1.14.4 |
| ultragrid | UltraGrid low-latency audio and video network transmission system | https://github.com/CESNET/UltraGrid/releases | https://github.com/CESNET/UltraGrid/releases/download/continuous/UltraGrid-latest-arm64.AppImage | continuous |
| unoffical-sonos-controller-for-linux | Unoffical sonos controller for linux | https://github.com/pascalopitz/unoffical-sonos-controller-for-linux/releases | https://github.com/pascalopitz/unoffical-sonos-controller-for-linux/releases/download/v0.4.0-rc1/sonos-controller-unofficial-0.4.0-rc1-arm64.AppImage | v0.4.0-rc1 |
| vieb | Vim Inspired Electron Browser | https://github.com/Jelmerro/Vieb/releases | https://github.com/Jelmerro/Vieb/releases/download/12.3.0/Vieb-12.3.0-arm64.AppImage | 12.3.0 |
| xclicker | A blazing fast gui autoclicker for linux | https://github.com/robiot/xclicker/releases | https://github.com/robiot/xclicker/releases/download/v1.5.1/xclicker_1.5.1_arm64.AppImage | v1.5.1 |
| youtube-music | YouTube Music Desktop App - including custom plugins | https://github.com/th-ch/youtube-music/releases | https://github.com/th-ch/youtube-music/releases/download/v3.9.0/YouTube-Music-3.9.0-arm64.AppImage | v3.9.0 |
| zsync2 | A rewrite of the original zsync tool for advanced file download/syncing | https://github.com/TheAssassin/zsync2/releases | https://github.com/AppImageCommunity/zsync2/releases/download/continuous/zsync2-75-9337846-aarch64.AppImage | continuous |
