| appname | description | site | download | version |
| flameshot | Powerful and simple to use screenshot software | https://github.com/flameshot/flameshot | oci://ghcr.io/pkgforge/pkgcache/flameshot/nixappimage/nixpkgs/unstable/flameshot:12.1.0-unstable-2025-05-04-x86_64-linux | 12.1.0-unstable-2025-05-04 |
| freerdp | Free implementation of the Remote Desktop Protocol [freerdp] | https://github.com/FreeRDP/FreeRDP | oci://ghcr.io/pkgforge/pkgcache/freerdp/appimage/ppkg/stable/freerdp:3.12.0-x86_64-linux | 3.12.0 |
| funkin | Friday Night Funkin: A rhythm game | https://github.com/FunkinCrew/Funkin | oci://ghcr.io/pkgforge/pkgcache/funkin/runimage/debian/stable/funkin:v0.5.3-x86_64-linux | v0.5.3 |
| gcc | GNU Compiler Collection | https://gcc.gnu.org/git/gitweb.cgi?p=gcc.git | oci://ghcr.io/pkgforge/pkgcache/gcc/appimage/ppkg/stable/gcc:12.2.0-x86_64-linux | 12.2.0 |
| gearlever | Manage AppImages with ease | https://github.com/mijorus/gearlever | oci://ghcr.io/pkgforge/pkgcache/gearlever/nixappimage/nixpkgs/stable/gearlever:3.2.4-x86_64-linux | 3.2.4 |
| ghauri | Tool for detecting and exploiting SQL injection security flaws | https://github.com/r0oth3x49/ghauri | oci://ghcr.io/pkgforge/pkgcache/ghauri/archive/sharun/source/ghauri:HEAD-d6bb1e5-250226T000945-x86_64-linux | HEAD-d6bb1e5-250226T000945 |
| ghex | A simple Binary/Hex editor | https://gitlab.gnome.org/GNOME/ghex | oci://ghcr.io/pkgforge/pkgcache/ghex/runimage/alpine/stable/ghex:46.2-x86_64-linux | 46.2 |
| ghidra | Software reverse engineering (SRE) suite of tools | https://aur.archlinux.org/packages/ghidra-git-bin | oci://ghcr.io/pkgforge/pkgcache/ghidra/runimage/cachyos/stable/ghidra:11.3.2-x86_64-linux | 11.3.2 |
| gimp | GNU Image Manipulation Program | https://github.com/pkgforge-dev/GIMP-AppImage | oci://ghcr.io/pkgforge/pkgcache/gimp/appimage/pkgforge-dev/stable/gimp:3.0.2-3-x86_64-linux | 3.0.2-3 |
| gimp | The GNU Image Manipulation Program (Git) | https://aur.archlinux.org/packages/gimp-git | oci://ghcr.io/pkgforge/pkgcache/gimp/runimage/cachyos/git/gimp:3.0.3.r218.eeed283da2-x86_64-linux | 3.0.3.r218.eeed283da2 |
| gimp | The GNU Image Manipulation Program | https://archlinux.org/packages/extra/x86_64/gimp/ | oci://ghcr.io/pkgforge/pkgcache/gimp/runimage/cachyos/stable/gimp:3.0.4-x86_64-linux | 3.0.4 |
| git | Fast, scalable, distributed revision control system | https://github.com/git/git | oci://ghcr.io/pkgforge/pkgcache/git/runimage/alpine/stable/git:2.49.0-x86_64-linux | 2.49.0 |
| git-dumper | A tool to dump a git repository from a website | https://pypi.org/project/git-dumper | oci://ghcr.io/pkgforge/pkgcache/git-dumper/archive/sharun/pypi/git-dumper:1.0.8-x86_64-linux | 1.0.8 |
| git | Fast, scalable, distributed revision control system | https://github.com/git/git | oci://ghcr.io/pkgforge/pkgcache/git/appimage/ppkg/stable/git:2.48.1-x86_64-linux | 2.48.1 |
| gnome-boxes | View, access, and manage Remote/Virtual systems | https://archlinux.org/packages/extra/x86_64/gnome-boxes/ | oci://ghcr.io/pkgforge/pkgcache/gnome-boxes/runimage/cachyos/stable/gnome-boxes:48.0-x86_64-linux | 48.0 |
| goverlay | GUI for configuring Vulkan/OpenGL overlays (Git) | https://aur.archlinux.org/packages/goverlay-git | oci://ghcr.io/pkgforge/pkgcache/goverlay/runimage/cachyos/git/goverlay:1.3.3.r24.gd730f93-x86_64-linux | 1.3.3.r24.gd730f93 |
